Course,stress_display_F3,stress_display_F4,fadiga_display,lateralization_display,stress_solutions_F3,stress_solutions_F4,fadiga_solutions,lateralization_solutions,stress_correct_F3,stress_correct_F4,fadiga,lateralization,stress_incorrect_F3,stress_incorrect_F4,fadiga_incorrect,lateralization_incorrect,imersion_display ,imersion_solutions ,imersion_correct ,imersion_incorrect ,P100_Pz_peak_display,P100_Pz_latency_display,P100_Cz_peak_display,P100_Cz_latency_display,P100_Pz_peak_solutions,P100_Pz_latency_solutions,P100_Cz_peak_solutions,P100_Cz_latency_solutions,P100_Pz_peak_correct,P100_Pz_latency_correct,P100_Cz_peak_correct,P100_Cz_latency_correct,P100_Pz_peak_incorrect,P100_Pz_latency_incorrect,P100_Cz_peak_incorrect,P100_Cz_latency_incorrect,P300_mean_Cz_display,P300_mean_Pz_display,P300_mean_Cz_solutions,P300_mean_Pz_solutions,P300_mean_Cz_correct,P300_mean_Pz_correct,P300_mean_Cz_incorrect,P300_mean_Pz_incorrect
DEI,0.66,0.81,0.27,0.24,2.64,1.16,7.59,-0.36,3.81,4.39,1.19,0.12,3.76,1.46,1.86,-0.36,0.67,1.73,1.64,1.68,-2057.70,92.00,-5462.00,92.00,-4671.10,118.00,-1206.70,118.00,4046.7,82,7366,122,8657.2,98,3345.7,96,-2630.30,-3439.10,-956.46,-5720.80,2566.1,1579.5,3157.4,9139.1
DEI,5.15,4.11,0.69,0.20,2.10,1.88,0.81,-0.03,6.10,8.23,0.40,0.41,2.06,3.06,0.38,0.04,2.12,0.70,1.71,1.56,5994.80,110.00,9340.40,82.00,2700.30,126.00,2988.80,128.00,3919,76,5594.1,82,139.29,116,4035.6,118,-619.07,-1500.50,542.42,-254.28,-3695.5,-1508.8,8419.1,1363.9
DEI,0.98,0.72,2.61,-0.54,3.71,5.15,1.44,-0.28,1.21,1.04,2.86,-0.34,5.19,3.69,0.83,0.00,0.92,6.44,1.50,1.85,7870.80,80.00,9351.90,80.00,-16743.00,96.00,-15847.00,96.00,3325.4,126,4115.2,126,2315.4,78,2125.1,106,5149.30,4280.60,-1477.80,-2988.50,1710.4,1714.8,663.06,131.94
DEI,4.99,3.45,2.97,-0.08,1.25,1.61,2.84,0.21,2.90,3.52,1.04,0.16,0.69,0.66,3.04,-0.02,3.86,1.49,2.15,1.88,2508.00,118.00,5872.20,114.00,-1946.30,114.00,-1425.10,114.00,628.2,120,4041.5,122,-1744.5,114,97.103,102,2274.80,5254.90,219.96,871.93,6701.5,-896.28,2961.1,496.63
DEI,2.59,3.00,0.86,0.12,1.03,1.09,1.24,0.08,1.97,0.84,1.47,-0.34,2.63,2.96,1.09,0.12,1.46,0.30,1.90,1.98,13416.00,124.00,4879.50,88.00,14227.00,90.00,7183.10,90.00,3725.4,84,5144.8,84,1.78E+05,110,1.53E+05,112,2419.40,2175.20,2296.00,7621.70,-1092.3,6099.6,-37596,-27072
DEI,11.09,12.00,0.36,0.02,2.97,2.95,1.12,-0.01,1.82,2.04,0.75,0.05,1.51,1.26,1.26,-0.08,2.85,2.03,0.92,0.98,-1465.90,112.00,3087.30,114.00,341.76,110.00,75.78,110.00,2780.8,80,4311.8,82,-1443.9,118,829.17,116,-163.26,-2411.20,-1522.90,-352.31,1691.4,420.57,5125,2626.6
DEI,1.36,1.04,1.50,-0.52,1.13,0.88,1.93,-0.54,6.11,9.97,0.32,0.37,4.35,1.98,0.28,-0.37,2.39,0.92,0.72,0.63,626.54,100.00,919.47,126.00,944.50,112.00,1325.00,114.00,1300.8,76,973.26,76,-897.14,130,NaN,NaN,224.01,-1611.30,2311.80,687.94,-305.74,-1321.2,570.27,-763.08
DEI,1.10,1.19,1.24,0.02,3.34,2.68,3.29,-0.06,2.98,2.63,1.30,-0.08,2.54,2.09,1.42,-0.01,0.45,8.65,3.37,3.03,-1748.60,82.00,-1108.80,84.00,317.65,122.00,34.85,120.00,-2671,90,NaN,NaN,428.47,128,256.6,128,-833.68,-676.35,-2598.60,-2602.20,1644.5,1747.9,1059.6,-173.63
DEI,1.31,0.90,1.78,-0.02,4.84,4.09,0.38,-0.07,7.35,15.56,0.30,0.32,4.09,3.41,0.61,-0.08,1.30,0.42,2.12,2.71,-1126.40,116.00,1535.00,118.00,-749.95,82.00,1011.50,130.00,669.95,92,4495.7,116,236.25,82,828.63,80,-506.86,-181.51,2465.70,244.41,2351.4,-410.8,957,575.62
DEI,0.39,0.46,3.00,-1.00,0.16,8.19,0.23,-1.00,0.38,0.97,1.69,-1.00,0.37,1.96,1.03,-1.00,0.54,1.76,1.22,1.63,-12544.00,106.00,-6428.70,106.00,22522.00,94.00,18721.00,98.00,46709,100,66495,104,11893,78,5152.3,78,-38502.00,-14277.00,-12734.00,6623.50,13618,3647.5,-14573,-2633.7
ESEC,0.62,1.61,1.15,0.33,1.57,3.14,1.51,0.41,0.78,1.06,1.14,0.17,3.83,4.87,0.73,0.06,0.05,1.79,0.09,1.24,3492.90,92.00,3469.20,114.00,15217.00,112.00,23795.00,114.00,-670.98,118,481.86,122,3011.6,92,8738.1,118,2031.50,1700.30,2952.20,3034.20,1539.7,-5007.5,2596.4,-368.76
ESEC,1.24,1.25,1.05,-0.01,1.47,1.25,0.55,-0.07,1.78,1.76,1.81,0.00,1.01,0.96,3.04,-0.07,3.31,2.01,0.18,0.77,-2655.80,108.00,-1126.00,114.00,2316.90,128.00,3302.20,128.00,651.14,82,1672.3,84,2445.8,94,4302.1,96,2079.30,3092.60,-403.11,323.94,-2289.8,-5422.3,1221.1,-3257.8
ESEC,12.14,7.61,0.26,-0.26,3.79,1.72,0.99,-0.46,2.39,2.32,1.72,0.14,58.45,8.79,0.64,-0.74,0.79,0.32,3.06,8.13,-233.95,100.00,-599.89,96.00,-580.12,92.00,-2326.50,84.00,403.34,126,797.17,94,923.33,104,2474.5,104,1290.20,457.65,-68.89,-989.62,5779,3660.3,8779.9,4796.5
ESEC,0.83,0.67,2.94,-0.07,6.06,3.54,2.57,-0.01,4.32,3.92,1.29,0.05,0.93,2.30,1.78,0.39,1.47,3.71,4.28,2.63,-4190.10,98.00,-189.27,126.00,1929.10,98.00,-183.08,96.00,400.53,126,1649.3,124,1145.1,78,2277.2,84,-1096.70,-531.11,460.32,1789.60,-435.87,-1573.3,1921,-2975
ESEC,0.39,0.39,4.42,-0.01,1.69,1.60,1.57,-0.04,4.46,4.50,1.48,0.00,0.61,0.59,4.60,-0.01,0.72,1.57,5.66,1.74,-5182.60,120.00,-5558.80,120.00,54.50,92.00,424.10,92.00,-3545.7,80,-4524.2,80,31134,110,32499,110,7337.20,7618.00,-2980.70,-3093.10,-2270.2,-1378,-164.68,328.28
ESEC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
