P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
20858.42209,104,41511.32707,100,15216.80498,4320.735282,4.845603803,3.178865651,0.872473887,-0.274964163,2.003990999,-338.4553832,82,1804.930934,82,4144.570808,4597.929296,1.336620229,0.7721433,1.694431771,-0.333348323,1.992880524,Training
-130.4109656,106,-4959.302725,110,2435.278532,2178.227835,1.964878095,2.931012266,2.780199167,0.219231057,10.2713301,1610.072197,76,2062.983105,76,-3847.218663,-5587.256489,1.186863809,1.943803435,1.031250389,0.144562363,0.684628094,Training
-12515.53743,118,-19890.60475,120,-21682.56272,-12947.98906,3.960115613,4.720771702,0.692300428,0.10951622,0.23043756,-4053.623307,128,-3935.78958,130,-8194.872184,-8065.268398,7.987868749,11.28630643,1.080601558,0.1187272,5.917675922,Training
33058.42255,118,22145.49994,118,30045.32879,38226.16404,0.973706277,1.677569462,0.855858766,0.003855847,0.441161626,32178.128,130,27478.70936,130,11872.1261,21460.32899,1.327759549,0.971080087,1.65044616,-0.195022851,0.919750919,Training
16430.68605,106,6374.130109,108,-7556.108629,-4379.283242,0.524161088,0.418449343,0.846500752,-0.094608366,0.516654881,17305.03133,94,-9983.689815,94,-30783.72985,-3653.659713,2.245016557,1.757655622,0.517194888,-0.143754436,0.467460715,Training
-20687.12712,84,778.2036198,80,422.9745768,-16835.37224,8.011447469,5.596900224,1.644306858,-0.323384267,0.720863793,2618.12457,126,7176.699719,126,-88.4243873,-18951.28886,1.652840522,2.944478738,2.104966152,-0.028571716,2.384074822,Training
3682.43228,80,13104.55394,82,14611.03556,7259.83305,5.943265634,8.806908877,1.338580667,0.663369984,11.00681498,19529.25426,78,15977.833,76,8175.226608,16638.03818,2.349691377,2.197543775,0.629290526,-0.003652514,0.428940553,Training
5665.815459,122,16228.79511,118,4929.367275,1461.303301,0.73775233,1.571701069,3.053880586,0.195877301,0.426301798,6421.140797,102,82.98787882,96,7335.443635,7592.55513,5.320582091,17.26741341,0.278341596,0.493332025,0.768474812,Training
-9162.737865,86,-1654.052656,88,-23287.05259,-52527.65509,2.361245394,2.479898782,2.068019304,0.094923827,2.513638329,2946.723399,130,7977.909926,130,-1037.258617,1826.080564,6.133361694,4.722193333,0.759294781,-0.161600739,5.887336795,Training
626.3936543,100,658.6800323,100,4823.794818,-7917.402731,1.87614625,2.150431329,0.689498785,0.051890645,0.656910152,9214.054024,82,5927.930885,82,-4633.112107,14727.78417,7.857665515,8.938617406,0.58035075,0.039192397,3.951096539,Training
11834.85726,96,-3274.266428,110,-2388.129373,21267.50621,2.218571995,2.082657964,4.915042293,-0.34149771,12.59653371,53025.63781,94,12732.86699,126,5498.7384,19410.55962,10.80829714,4.536418824,2.082399397,-0.497345266,1.479852563,Training
7571.307776,76,5097.006347,78,14940.97496,-1772.755776,2.776204406,2.473455439,0.512817712,-0.055511847,0.466715457,12030.33713,130,13543.95875,126,2554.682644,422.9914656,7.765784722,5.719703544,0.456998587,-0.079993198,1.694059557,Training
63406.06289,98,38239.43362,98,-25060.9956,-12244.79334,3.798289498,4.191693167,0.912228578,0.051356696,2.376665898,64203.44936,128,66540.79558,128,-7635.706019,-7910.678349,23.3747556,21.12359183,0.171414465,-0.0352498,3.137315877,Training
3555.917792,102,6072.110332,92,2789.806471,7364.155917,8.832285202,4.726427799,0.934011609,-0.353778527,0.199310949,22984.27822,78,-4797.938191,126,-7504.638771,37449.96883,3.974155453,1.647220201,3.546371591,-0.44998284,8.10560756,Training
13669.28004,104,11803.07713,104,1262.781116,15.12055631,3.651127086,3.639021541,1.046831817,0.006491529,2.781513887,8453.889767,114,2489.603551,112,2785.281514,1545.737366,5.844415954,5.80896544,0.803260844,-3.8709E-06,3.439870341,Training
19065.2077,80,14758.61936,80,8914.968123,8823.766994,92.36450916,32.05903904,0.139180851,-0.344684255,1.129698086,6034.772453,74,-10072.44489,108,-7141.302863,-4117.863739,9.563033028,4.199667671,0.400085289,-0.246603691,2.56128757,Training
4669.790118,102,3387.465278,124,-3325.159907,-5374.98524,3.128261068,3.316676522,0.377443167,-0.026445825,0.413646522,10537.87096,126,5452.175927,124,1286.287672,1411.738188,5.935933369,5.629737777,0.967773919,-0.044215634,4.381372412,Training
26162.83824,120,35554.1476,120,11908.44593,29.27502745,1.657478354,1.94954684,0.746589151,0.067063828,0.261113027,28042.308,120,33069.28251,120,15620.03866,367.2814163,0.931470984,0.873906297,1.405362005,-0.028916142,0.255784823,Training
5569.565083,120,6274.174752,118,2684.545454,-471.8235543,8.831937925,4.216413769,0.351364368,-0.34884915,2.00633466,10906.11226,120,16746.26938,120,762.625628,-5285.797391,14.41825816,18.15136777,0.304215648,0.195465809,3.170874314,Training
-19656.75516,74,-14731.85062,74,-5361.322811,-10759.11793,1.101185207,0.949489879,1.743384097,-0.051981433,0.758076064,-33138.94962,82,-21370.77133,82,-4192.54164,-31515.38899,2.347677116,2.171870304,1.286630897,-0.042882403,2.028559541,Training
-8188.920883,86,11321.32529,130,2976.333841,-1217.178533,1.198352971,1.265144997,0.843740347,0.005588984,0.106683514,13374.8421,128,10540.26972,126,4734.708793,9380.799828,2.031158782,2.631139444,1.425503177,-0.36783045,0.813958969,Training
2850.398192,118,154.7026026,118,-1045.62958,-1953.722263,1.445245695,2.823019506,0.722567236,0.309952133,0.941769703,7860.553991,120,8373.775872,120,5667.897292,2888.628224,9.770097329,10.84776635,0.166827433,-0.013103284,0.755985193,Training
6978.035872,100,17067.41927,128,-759.6505608,-12380.40618,2.93230818,3.903253066,0.919345309,0.098516941,0.159291848,8852.210228,118,-1670.355915,120,-3602.215789,7846.655446,1.856565878,1.382677811,0.923255052,-0.11361068,0.354882054,Training
44979.63243,112,50639.04475,112,118550.5941,114072.9256,0.859450613,0.798515053,1.473117979,-0.20113219,0.179984051,25854.50434,102,30560.54372,102,28834.69529,24461.65173,0.474861848,0.625287747,3.344989774,0.026192808,1.003870096,Training
-1133.735523,114,-18225.09378,116,2151.274858,2211.067772,8.257122986,4.11577685,0.57132006,-0.388215978,1.192566389,14413.62249,74,6461.876603,96,2348.827181,4443.325578,2.930807849,1.53536436,0.767914704,-0.374805564,3.521803206,Training
6239.924536,102,10871.2049,128,7438.428478,7060.522847,3.12150633,8.911700444,1.310332285,0.083291491,1.918627236,-34069.81935,110,-87559.57589,76,-156616.4526,-38926.11815,2.194132959,5.347179366,0.986531995,0.252541247,1.869045003,Training
-168.4670406,118,1116.304226,118,-969.0398942,858.343206,0.995077171,3.958569335,0.992269145,0.659895085,1.927651869,3055.013075,118,724.7029523,120,-3688.812835,-385.894424,1.897675088,2.267902306,1.031170436,0.013849045,1.316443987,Training
20397.89525,90,14491.02254,90,4800.818414,18706.20054,2.484470044,1.957141533,1.518290916,-0.005112499,2.521702478,57625.41709,92,37987.39339,86,-10996.63373,3533.583294,3.535169308,3.879977182,0.583690346,0.141262243,0.949837805,Training
1530.983614,112,3678.518742,114,1197.329431,-3123.213626,2.257564689,2.394435253,1.170780549,0.098357848,1.74867298,5227.444728,116,1235.913961,116,-3276.101037,3237.410432,1.442512284,1.795580926,1.010656781,0.077466292,1.136188866,Training
-3958.117345,112,-1396.168281,80,-5807.179812,-1113.392827,6.548030436,6.454125132,0.306203163,-0.013882942,1.251036919,8124.268174,106,-164.1951825,104,-9672.19307,4767.541356,8.758634921,8.358268419,0.682537556,-0.035585605,3.820495299,Training
21380.05189,128,10643.05633,94,1932.618477,26134.24751,3.653555471,3.106175286,8.589933547,-0.126147302,3.992030107,24954.41958,106,19887.18479,112,8754.757711,18045.02568,3.322101564,5.057822079,2.329621275,0.349555808,20.06035254,Training
7297.895946,102,10514.62235,102,-9076.510601,-759.6652374,2.422006767,2.837132634,0.677133161,0.04195498,0.983960906,6526.742623,84,-1741.922393,82,-9779.635706,2168.374679,9.086072078,6.921250143,0.172236758,-0.142613931,0.457124659,Training
36310.97762,102,50138.53839,102,15828.08401,-3965.197561,1.031048137,1.038145991,1.522378092,0.020260149,0.576513495,31299.11452,128,43710.27512,98,20797.94883,10661.74717,4.390911874,4.642203432,0.473575077,0.062282083,0.934407929,Training
-376.9860482,100,16214.82639,126,1719.96845,-20796.45242,0.699280187,0.784613886,1.127335263,-0.000558822,0.144405059,34711.16503,116,13669.38166,78,-4333.912791,-12802.64537,2.706504566,3.104663475,1.015411972,0.022454815,3.992267581,Training
16792.56309,86,20079.63974,86,13517.60894,4369.097821,3.482681463,3.504129662,0.494126065,0.005767049,0.605465346,3538.690304,110,3198.738101,110,-6732.226991,-13817.50921,2.956998836,2.821364151,0.831887417,-0.0466814,0.831960666,Training
16963.59681,124,17237.07664,128,-10741.1909,-4257.612529,4.956120622,1.757272092,0.516996361,-0.382042063,0.180588213,23930.94745,122,22792.28498,126,-5044.270494,2152.832019,5.204162338,2.969557772,0.570119159,-0.267406978,1.721611274,Training
11115.70508,74,9168.842644,74,-5682.829337,-3430.458868,8.593138339,8.225590815,1.125335357,-0.008013957,7.771840284,4282.58018,114,5285.65996,114,3085.347791,5000.80665,13.09172478,10.80049919,0.565139517,-0.104866016,5.6024362,Training
21052.01712,112,17946.87998,112,2203.988447,-6750.224685,5.794195708,4.779085739,0.299689845,-0.090667313,0.673198263,8528.009258,90,-846.232642,90,-7461.503249,1727.802091,1.354578404,1.215267332,1.773346562,-0.02752237,1.340707458,Training
,,,,-2553.343237,-4417.35359,0.771893023,0.61199738,1.969368464,0.026847932,0.508381298,13264.52458,82,9091.735274,82,4003.085532,5774.076272,3.7510776,6.55772148,1.021719159,0.369047668,3.691905795,Training
6281.999948,90,-4380.036068,88,-16337.45156,-1505.148319,3.924280635,4.496528332,0.280196782,0.047559933,0.248836545,5232.684848,86,1370.312025,88,10504.9088,10119.71645,1.001889014,1.105314207,1.096828269,0.00375788,0.13910228,Training
8554.605229,108,-2038.330799,110,2778.845618,4851.56168,0.849241367,0.952086743,1.632151038,-0.405018995,0.709622662,708.4045697,130,-6451.556891,130,-593.2122553,-36.39892781,3.233098663,0.64893196,0.431604294,-0.558631811,0.582008889,Training
5818.526616,102,7987.487397,102,3292.141035,-1499.672391,0.813119116,0.848597928,2.880388674,0.12520842,1.463607881,15439.86277,84,17700.65882,84,8695.397286,8041.731308,10.08205416,5.17445812,0.89992836,-0.313080256,3.333597656,Training
36607.7192,128,31545.18674,130,22863.40731,17376.31847,1.580655589,2.037238507,1.164124081,0.063961209,1.095624521,6929.11519,96,1088.006148,98,-9548.409367,1909.704881,4.670736015,8.220433261,1.043422657,0.246713173,3.64030857,Training
712.0366146,86,8998.967399,88,-5908.63485,-15328.79442,1.676828159,1.752366005,1.519730781,-0.111589629,0.774238016,7081.663463,104,11165.374,86,13443.98604,11289.74785,4.372298814,5.390949568,0.272591529,0.138191105,1.304346034,Training
6473.357891,108,12335.09271,92,-6309.491594,-1578.284445,6.956253524,3.181975278,0.62788867,-0.343130567,1.201134138,15259.89744,116,16592.73395,114,-1598.789586,3356.081001,3.4687892,6.599547064,1.201335176,0.352424988,1.788413648,Training
4807.993708,130,2947.673705,126,-212.3276683,-5793.102772,12.153461,49.38901876,0.287202365,0.464383377,1.173289722,7276.151028,110,,,10928.15863,18667.8748,1.540792712,1.900562906,0.758334409,-0.096080435,6.905237908,Training
12393.9113,110,16726.76589,110,2592.249262,7.296104355,2.891257946,1.766686405,0.606761344,0.048618686,0.159698965,7049.323293,104,4035.912448,104,-3411.907695,-3566.526636,6.506500599,4.881745312,0.629069471,-0.002391315,0.989952797,Training
12324.7298,78,,,4398.850116,3976.610403,3.04303838,3.193845572,0.524910848,0.104871396,0.700310648,7725.947316,86,14924.38456,84,3565.480295,-6255.204574,1.440194365,1.477513771,1.288499004,0.034960023,0.516207263,Training
5689.340393,114,6554.945219,112,-2370.092116,-6432.900606,2.158434552,1.131876732,0.894386819,-0.358046958,0.556608789,-16.31285136,74,12753.86393,74,2869.095891,-9689.262351,5.641966091,2.745860297,0.935392133,-0.261234532,2.713499198,Training
-7850.498997,120,12449.87392,120,-670.7408908,-28399.834,2.236425174,2.262415316,0.742815816,0.005858997,0.099818366,35415.69952,130,2765.431308,128,-3368.533243,28675.53865,62.73549044,45.05308695,1.7419207,-0.153826116,38.24467724,Training
17348.75828,114,4582.648522,114,-5546.648221,16840.45286,21.60041998,1.684895627,2.734648286,-0.885158283,2.036271577,9595.533089,114,512.0672278,116,1778.711586,-3697.973075,0.715758914,1.591187156,1.593550673,0.508416799,0.998510817,Training
9976.757934,80,25581.61914,80,5656.931297,2977.438962,1.581509598,1.76730394,0.621850821,0.054305829,0.28502643,15221.99121,96,12725.7792,96,-19055.47127,-2968.63303,3.438982652,2.955869772,1.023380247,-0.084965071,1.707720697,Training
59413.78453,124,53010.06187,124,21300.53226,29164.2843,3.236702285,3.352554597,0.597682344,0.014138238,0.866149993,39027.7881,78,31369.28295,78,-2694.790869,-4372.837849,6.529394007,6.533841686,0.393280917,0.011098052,1.570658773,Training
14030.71115,128,7190.80074,88,-10521.04277,18999.08161,4.005214652,3.66372652,0.58126368,-0.011073923,0.601428716,6941.76586,122,12843.30584,128,5680.821891,4649.548704,0.409449992,0.4353904,1.824054058,0.032888051,2.571117331,Training
