P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
-20687.12712,84,778.2036198,80,422.9745768,-16835.37224,8.011447469,5.596900224,1.644306858,-0.3233842675,0.7208637929,2618.12457,126,7176.699719,126,-88.4243873,-18951.28886,1.652840522,2.944478738,2.104966152,-0.02857171551,2.384074822,Training
3682.43228,80,13104.55394,82,14611.03556,7259.83305,5.943265634,8.806908877,1.338580667,0.6633699839,11.00681498,19529.25426,78,15977.833,76,8175.226608,16638.03818,2.349691377,2.197543775,0.6292905255,-0.003652513572,0.4289405528,Training
5665.815459,122,16228.79511,118,4929.367275,1461.303301,0.7377523298,1.571701069,3.053880586,0.1958773014,0.4263017984,6421.140797,102,82.98787882,96,7335.443635,7592.55513,5.320582091,17.26741341,0.2783415957,0.4933320253,0.7684748118,Training
-9162.737865,86,-1654.052656,88,-23287.05259,-52527.65509,2.361245394,2.479898782,2.068019304,0.09492382674,2.513638329,2946.723399,130,7977.909926,130,-1037.258617,1826.080564,6.133361694,4.722193333,0.7592947807,-0.1616007393,5.887336795,Training
626.3936543,100,658.6800323,100,4823.794818,-7917.402731,1.87614625,2.150431329,0.6894987855,0.05189064484,0.6569101519,9214.054024,82,5927.930885,82,-4633.112107,14727.78417,7.857665515,8.938617406,0.5803507498,0.03919239653,3.951096539,Training
11834.85726,96,-3274.266428,110,-2388.129373,21267.50621,2.218571995,2.082657964,4.915042293,-0.3414977096,12.59653371,53025.63781,94,12732.86699,126,5498.7384,19410.55962,10.80829714,4.536418824,2.082399397,-0.497345266,1.479852563,Training
7571.307776,76,5097.006347,78,14940.97496,-1772.755776,2.776204406,2.473455439,0.5128177119,-0.0555118468,0.4667154567,12030.33713,130,13543.95875,126,2554.682644,422.9914656,7.765784722,5.719703544,0.4569985872,-0.07999319808,1.694059557,Training
63406.06289,98,38239.43362,98,-25060.9956,-12244.79334,3.798289498,4.191693167,0.912228578,0.05135669619,2.376665898,64203.44936,128,66540.79558,128,-7635.706019,-7910.678349,23.3747556,21.12359183,0.1714144652,-0.03524979973,3.137315877,Training
3555.917792,102,6072.110332,92,2789.806471,7364.155917,8.832285202,4.726427799,0.9340116092,-0.3537785265,0.1993109491,22984.27822,78,-4797.938191,126,-7504.638771,37449.96883,3.974155453,1.647220201,3.546371591,-0.4499828403,8.10560756,Training
13669.28004,104,11803.07713,104,1262.781116,15.12055631,3.651127086,3.639021541,1.046831817,0.006491528932,2.781513887,8453.889767,114,2489.603551,112,2785.281514,1545.737366,5.844415954,5.80896544,0.8032608441,-0.000003870899987,3.439870341,Training
19065.2077,80,14758.61936,80,8914.968123,8823.766994,92.36450916,32.05903904,0.139180851,-0.344684255,1.129698086,6034.772453,74,-10072.44489,108,-7141.302863,-4117.863739,9.563033028,4.199667671,0.4000852892,-0.2466036913,2.56128757,Training
4669.790118,102,3387.465278,124,-3325.159907,-5374.98524,3.128261068,3.316676522,0.3774431672,-0.0264458252,0.413646522,10537.87096,126,5452.175927,124,1286.287672,1411.738188,5.935933369,5.629737777,0.9677739185,-0.04421563355,4.381372412,Training
26162.83824,120,35554.1476,120,11908.44593,29.27502745,1.657478354,1.94954684,0.7465891509,0.06706382822,0.261113027,28042.308,120,33069.28251,120,15620.03866,367.2814163,0.9314709836,0.8739062965,1.405362005,-0.02891614246,0.2557848235,Training
5569.565083,120,6274.174752,118,2684.545454,-471.8235543,8.831937925,4.216413769,0.3513643675,-0.3488491497,2.00633466,10906.11226,120,16746.26938,120,762.625628,-5285.797391,14.41825816,18.15136777,0.304215648,0.1954658091,3.170874314,Training
-19656.75516,74,-14731.85062,74,-5361.322811,-10759.11793,1.101185207,0.9494898792,1.743384097,-0.05198143287,0.7580760641,-33138.94962,82,-21370.77133,82,-4192.54164,-31515.38899,2.347677116,2.171870304,1.286630897,-0.04288240317,2.028559541,Training
-8188.920883,86,11321.32529,130,2976.333841,-1217.178533,1.198352971,1.265144997,0.8437403469,0.005588984473,0.1066835142,13374.8421,128,10540.26972,126,4734.708793,9380.799828,2.031158782,2.631139444,1.425503177,-0.36783045,0.8139589687,Training
2850.398192,118,154.7026026,118,-1045.62958,-1953.722263,1.445245695,2.823019506,0.7225672362,0.309952133,0.9417697025,7860.553991,120,8373.775872,120,5667.897292,2888.628224,9.770097329,10.84776635,0.1668274327,-0.0131032844,0.755985193,Training
6978.035872,100,17067.41927,128,-759.6505608,-12380.40618,2.93230818,3.903253066,0.9193453095,0.09851694082,0.1592918482,8852.210228,118,-1670.355915,120,-3602.215789,7846.655446,1.856565878,1.382677811,0.9232550521,-0.1136106797,0.3548820543,Training
44979.63243,112,50639.04475,112,118550.5941,114072.9256,0.8594506128,0.7985150527,1.473117979,-0.20113219,0.1799840514,25854.50434,102,30560.54372,102,28834.69529,24461.65173,0.4748618481,0.625287747,3.344989774,0.02619280816,1.003870096,Training
-1133.735523,114,-18225.09378,116,2151.274858,2211.067772,8.257122986,4.11577685,0.5713200596,-0.3882159778,1.192566389,14413.62249,74,6461.876603,96,2348.827181,4443.325578,2.930807849,1.53536436,0.7679147039,-0.3748055644,3.521803206,Training
6239.924536,102,10871.2049,128,7438.428478,7060.522847,3.12150633,8.911700444,1.310332285,0.08329149084,1.918627236,-34069.81935,110,-87559.57589,76,-156616.4526,-38926.11815,2.194132959,5.347179366,0.9865319951,0.2525412472,1.869045003,Training
-168.4670406,118,1116.304226,118,-969.0398942,858.343206,0.9950771713,3.958569335,0.9922691446,0.6598950849,1.927651869,3055.013075,118,724.7029523,120,-3688.812835,-385.894424,1.897675088,2.267902306,1.031170436,0.01384904517,1.316443987,Training
20397.89525,90,14491.02254,90,4800.818414,18706.20054,2.484470044,1.957141533,1.518290916,-0.005112499438,2.521702478,57625.41709,92,37987.39339,86,-10996.63373,3533.583294,3.535169308,3.879977182,0.5836903463,0.1412622426,0.9498378045,Training
1530.983614,112,3678.518742,114,1197.329431,-3123.213626,2.257564689,2.394435253,1.170780549,0.09835784785,1.74867298,5227.444728,116,1235.913961,116,-3276.101037,3237.410432,1.442512284,1.795580926,1.010656781,0.07746629182,1.136188866,Training
